date,store,item,sales,domain 
01-01-2015,1,1,11,student
02-01-2015,1,1,19,student
03-01-2015,1,1,16,student
04-01-2015,1,1,14,student
05-01-2015,1,1,14,student
06-01-2015,1,1,9,student
07-01-2015,1,1,13,student
08-01-2015,1,1,18,student
09-01-2015,1,1,18,student
10-01-2015,1,1,17,student
11-01-2015,1,1,19,student
12-01-2015,1,1,9,student
13-01-2015,1,1,9,student
14-01-2015,1,1,15,student
15-01-2015,1,1,10,student
16-01-2015,1,1,15,student
17-01-2015,1,1,16,student
18-01-2015,1,1,15,student
19-01-2015,1,1,12,student
20-01-2015,1,1,12,student
21-01-2015,1,1,10,student
22-01-2015,1,1,8,student
23-01-2015,1,1,14,student
24-01-2015,1,1,20,student
25-01-2015,1,1,19,student
26-01-2015,1,1,12,student
27-01-2015,1,1,13,student
28-01-2015,1,1,13,student
29-01-2015,1,1,7,student
30-01-2015,1,1,12,student
31-01-2015,1,1,19,student
01-02-2015,1,1,17,student
02-02-2015,1,1,6,student
03-02-2015,1,1,10,student
04-02-2015,1,1,8,student
05-02-2015,1,1,18,student
06-02-2015,1,1,13,student
07-02-2015,1,1,13,student
08-02-2015,1,1,18,student
09-02-2015,1,1,12,student
10-02-2015,1,1,15,student
11-02-2015,1,1,19,student
12-02-2015,1,1,15,student
13-02-2015,1,1,13,student
14-02-2015,1,1,11,student
15-02-2015,1,1,18,student
16-02-2015,1,1,14,student
17-02-2015,1,1,16,student
18-02-2015,1,1,16,student
19-02-2015,1,1,11,student
20-02-2015,1,1,10,student
21-02-2015,1,1,19,student
22-02-2015,1,1,24,student
23-02-2015,1,1,9,student
24-02-2015,1,1,8,student
25-02-2015,1,1,13,student
26-02-2015,1,1,18,student
27-02-2015,1,1,17,student
28-02-2015,1,1,18,student
01-03-2015,1,1,18,student
02-03-2015,1,1,17,student
03-03-2015,1,1,14,student
04-03-2015,1,1,19,student
05-03-2015,1,1,10,student
06-03-2015,1,1,17,student
07-03-2015,1,1,16,student
08-03-2015,1,1,13,student
09-03-2015,1,1,13,student
10-03-2015,1,1,23,student
11-03-2015,1,1,21,student
12-03-2015,1,1,24,student
13-03-2015,1,1,25,student
14-03-2015,1,1,15,student
15-03-2015,1,1,20,student
16-03-2015,1,1,13,student
17-03-2015,1,1,15,student
18-03-2015,1,1,16,student
19-03-2015,1,1,17,student
20-03-2015,1,1,31,student
21-03-2015,1,1,25,student
22-03-2015,1,1,23,student
23-03-2015,1,1,16,student
24-03-2015,1,1,18,student
25-03-2015,1,1,13,student
26-03-2015,1,1,10,student
27-03-2015,1,1,16,student
28-03-2015,1,1,12,student
29-03-2015,1,1,25,student
30-03-2015,1,1,19,student
31-03-2015,1,1,18,student
01-04-2015,1,1,24,student
02-04-2015,1,1,20,student
03-04-2015,1,1,27,student
04-04-2015,1,1,26,student
05-04-2015,1,1,20,student
06-04-2015,1,1,20,student
07-04-2015,1,1,19,student
08-04-2015,1,1,17,student
09-04-2015,1,1,20,student
10-04-2015,1,1,24,student
11-04-2015,1,1,17,student
12-04-2015,1,1,21,student
13-04-2015,1,1,14,student
14-04-2015,1,1,26,student
15-04-2015,1,1,26,student
16-04-2015,1,1,20,student
17-04-2015,1,1,22,student
18-04-2015,1,1,23,student
19-04-2015,1,1,24,student
20-04-2015,1,1,17,student
21-04-2015,1,1,25,student
22-04-2015,1,1,19,student
23-04-2015,1,1,17,student
24-04-2015,1,1,11,student
25-04-2015,1,1,29,student
26-04-2015,1,1,30,student
27-04-2015,1,1,22,student
28-04-2015,1,1,27,student
29-04-2015,1,1,18,student
30-04-2015,1,1,27,student
01-05-2015,1,1,20,student
02-05-2015,1,1,22,student
03-05-2015,1,1,33,student
04-05-2015,1,1,14,student
05-05-2015,1,1,25,student
06-05-2015,1,1,13,student
07-05-2015,1,1,23,student
08-05-2015,1,1,22,student
09-05-2015,1,1,29,student
10-05-2015,1,1,29,student
11-05-2015,1,1,24,student
12-05-2015,1,1,21,student
13-05-2015,1,1,14,student
14-05-2015,1,1,17,student
15-05-2015,1,1,27,student
16-05-2015,1,1,31,student
17-05-2015,1,1,27,student
18-05-2015,1,1,11,student
19-05-2015,1,1,28,student
20-05-2015,1,1,17,student
21-05-2015,1,1,27,student
22-05-2015,1,1,22,student
23-05-2015,1,1,24,student
24-05-2015,1,1,27,student
25-05-2015,1,1,19,student
26-05-2015,1,1,19,student
27-05-2015,1,1,22,student
28-05-2015,1,1,23,student
29-05-2015,1,1,18,student
30-05-2015,1,1,36,student
31-05-2015,1,1,27,student
01-06-2015,1,1,23,student
02-06-2015,1,1,15,student
03-06-2015,1,1,23,student
04-06-2015,1,1,25,student
05-06-2015,1,1,18,student
06-06-2015,1,1,43,student
07-06-2015,1,1,22,student
08-06-2015,1,1,18,student
09-06-2015,1,1,19,student
10-06-2015,1,1,22,student
11-06-2015,1,1,29,student
12-06-2015,1,1,23,student
13-06-2015,1,1,28,student
14-06-2015,1,1,30,student
15-06-2015,1,1,19,student
16-06-2015,1,1,17,student
17-06-2015,1,1,28,student
18-06-2015,1,1,29,student
19-06-2015,1,1,20,student
20-06-2015,1,1,30,student
21-06-2015,1,1,34,student
22-06-2015,1,1,14,student
23-06-2015,1,1,27,student
24-06-2015,1,1,26,student
25-06-2015,1,1,21,student
26-06-2015,1,1,30,student
27-06-2015,1,1,31,student
28-06-2015,1,1,35,student
29-06-2015,1,1,26,student
30-06-2015,1,1,23,student
01-07-2015,1,1,21,student
02-07-2015,1,1,26,student
03-07-2015,1,1,30,student
04-07-2015,1,1,40,student
05-07-2015,1,1,30,student
06-07-2015,1,1,20,student
07-07-2015,1,1,24,student
08-07-2015,1,1,21,student
09-07-2015,1,1,33,student
10-07-2015,1,1,26,student
11-07-2015,1,1,30,student
12-07-2015,1,1,19,student
13-07-2015,1,1,22,student
14-07-2015,1,1,19,student
15-07-2015,1,1,20,student
16-07-2015,1,1,41,student
17-07-2015,1,1,31,student
18-07-2015,1,1,38,student
19-07-2015,1,1,38,student
20-07-2015,1,1,22,student
21-07-2015,1,1,29,student
22-07-2015,1,1,27,student
23-07-2015,1,1,17,student
